sample_name	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	Flag_Number	Pool_region	Depth_Substrate_Sampling	Corresponding_DOM_Site	Spot_in_Site_for_Coring	ATTRIBUTE_Location 	ATTRIBUTE_linked_DOM_sample_number	DOM_Filter_LOT_number	ATTRIBUTE_Pool_region	ATTRIBUTE_submerged
Stromatolite_SD1_1_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002042	electrospray ionization (positive)	reverse phase (C18)	S1_1	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2/20/19	United States of America	Urban	-34.041176; 25.538640	0	MSV000083729_S1_1	not applicable	not applicable	not applicable	SD	SD	Core-top	not applicable	not applicable	Windansea	not applicable	not applicable	SD	na
Stromatolite_SD1_2_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002043	electrospray ionization (positive)	reverse phase (C18)	S1_2	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2/20/19	United States of America	Urban	-34.041176; 25.538640	0	MSV000083729_S1_2	not applicable	not applicable	not applicable	SD	SD	Core-top	not applicable	not applicable	Windansea	not applicable	not applicable	SD	na
Stromatolite_SD1_3_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002044	electrospray ionization (positive)	reverse phase (C18)	S1_3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2/20/19	United States of America	Urban	-34.041176; 25.538640	0	MSV000083729_S1_3	not applicable	not applicable	not applicable	SD	SD	Core-top	not applicable	not applicable	Windansea	not applicable	not applicable	SD	na
Stromatolite_SD1_4_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002045	electrospray ionization (positive)	reverse phase (C18)	S1_4	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2/20/19	United States of America	Urban	-34.041176; 25.538640	0	MSV000083729_S1_4	not applicable	not applicable	not applicable	SD	SD	Core-top	not applicable	not applicable	Windansea	not applicable	not applicable	SD	na
Stromatolite_SD1_5_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002046	electrospray ionization (positive)	reverse phase (C18)	S1_5	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	2/20/19	United States of America	Urban	-34.041176; 25.538640	0	MSV000083729_S1_5	not applicable	not applicable	not applicable	SD	SD	Core-top	not applicable	not applicable	Windansea	not applicable	not applicable	SD	na
Stromatolite_Tissue_1_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	S1-Core-1A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-1A-Fri-low	not applicable	not applicable	not applicable	1	Inflow	Core-top	1	1	Schoenmakerskop	S1-DOM-1-Fri-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_10_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1001920	electrospray ionization (positive)	reverse phase (C18)	S1-Core-2A-Sat-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/10/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S1-Core-2A-Sat-low	not applicable	not applicable	not applicable	1	Inflow	Core-top	1	4	Schoenmakerskop	S1-DOM-1-Sat-low	6409030-04	Inflow	flowing
Stromatolite_Tissue_100_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002010	electrospray ionization (positive)	reverse phase (C18)	S10-Core-3A-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-3A-Fri-low	not applicable	not applicable	not applicable	10	Lower	Core-top	10	3	Schoenmakerskop	S10-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_101_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002011	electrospray ionization (positive)	reverse phase (C18)	S10-Core-1B-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-1B-Fri-low	not applicable	not applicable	not applicable	10	Lower	Core-middle	10	1	Schoenmakerskop	S10-DOM-1-Fri-low	6409030-04	Lower	flowing
Stromatolite_Tissue_102_pos.mzML	environmental	marine_cyanobacteria_insitu	not specified	2019	"solid material, dried"	methanol (100%)	none	Q Exactive|MS:1002012	electrospray ionization (positive)	reverse phase (C18)	S10-Core-2C-Fri-low	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	11/9/18	South Africa	Urban	-34.041176; 25.538640	0	MSV000083729_S10-Core-2C-Fri-low	not applicable	not applicable	not applicable	10	Lower	Core-top	10	2	Schoenmakerskop	S10-DOM-1-Fri-low	6409030-04	Lower	flowing
